[LOG] 2016-12-01 0:00:00 mkdir SUCCESS
[SELL_PRICE] 2016-12-01 10:40:58 PAPER SUCCESS
[SELL_PRICE] 2016-12-01 11:55:08 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-01 13:33:46 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-01 13:46:33 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-01 13:58:51 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-01 14:13:13 PAPER SUCCESS
[SELL_PRICE] 2016-12-01 14:13:35 PAPER SUCCESS
[SELL_PRICE] 2016-12-01 14:13:42 PAPER SUCCESS
[SELL_PRICE] 2016-12-01 14:37:15 PAPER SUCCESS
[SELL_PRICE] 2016-12-01 14:39:01 PAPER SUCCESS
[SELL_PRICE] 2016-12-01 14:55:57 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-01 15:07:17 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-01 15:30:04 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-01 16:33:03 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-01 17:26:28 SALE_PAPER SUCCESS
