[LOG] 2022-07-07 0:00:01 mkdir SUCCESS
[SELL_PRICE] 2022-07-07 14:45:33 PLY SUCCESS
[SELL_PRICE] 2022-07-07 19:31:32 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 19:54:27 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 19:54:56 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:06:41 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:07:05 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:07:10 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:07:15 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:07:23 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:07:29 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:07:37 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:07:42 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:07:50 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:07:56 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:08:03 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:08:09 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:08:15 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:08:21 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:08:27 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:08:33 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:08:39 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:08:46 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:08:52 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:08:57 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:13:45 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:31:33 AFTER SUCCESS
[SELL_PRICE] 2022-07-07 21:38:03 AFTER SUCCESS
