[LOG] 2023-02-08 11:16:55 mkdir SUCCESS
[SELL_PRICE] 2023-02-08 11:16:57 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:17:02 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:17:08 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:17:13 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:17:18 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:17:23 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:17:28 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:17:33 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:17:39 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:17:44 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:17:49 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:17:54 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:18:03 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:18:14 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:18:24 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:18:35 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:18:45 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:18:56 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:19:06 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:19:16 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:19:27 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:19:36 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:19:47 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:19:57 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:20:08 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:20:18 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:20:29 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:20:39 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:20:49 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:20:59 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:21:05 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:21:11 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:21:17 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:21:22 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:21:27 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:21:37 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:21:48 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:21:58 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:22:08 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:22:17 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:22:26 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:22:32 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:22:38 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:25:37 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:25:42 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:25:54 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:25:59 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:28:31 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:30:48 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:53:55 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:54:00 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:54:05 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:54:10 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:54:20 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:54:41 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:55:04 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:55:24 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:55:30 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:55:35 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:55:47 PLY SUCCESS
[SELL_PRICE] 2023-02-08 11:55:53 PLY SUCCESS
