[LOG] 2016-12-16 0:00:03 mkdir SUCCESS
[SELL_PRICE] 2016-12-16 0:39:32 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 7:03:45 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 7:28:06 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 7:30:07 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 8:37:23 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 8:39:50 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 8:52:25 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 9:05:32 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 9:54:20 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 10:30:44 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 14:18:37 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 14:47:48 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 17:29:44 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 17:56:34 AFTER SUCCESS
[PUR_PRICE] 2016-12-16 20:24:56 PRINT SUCCESS
[PUR_PRICE] 2016-12-16 20:25:11 PRINT SUCCESS
[PUR_PRICE] 2016-12-16 20:25:46 PRINT SUCCESS
[PUR_PRICE] 2016-12-16 20:25:51 PRINT SUCCESS
[PUR_PRICE] 2016-12-16 20:26:06 PRINT SUCCESS
[PUR_PRICE] 2016-12-16 20:26:31 PRINT SUCCESS
[PUR_PRICE] 2016-12-16 20:27:36 PRINT SUCCESS
[SELL_PRICE] 2016-12-16 21:22:41 AFTER SUCCESS
[SELL_PRICE] 2016-12-16 22:39:05 AFTER SUCCESS
[PUR_PRICE] 2016-12-16 23:04:31 PRINT SUCCESS
[PUR_PRICE] 2016-12-16 23:09:01 PRINT SUCCESS
[SELL_PRICE] 2016-12-16 23:20:33 AFTER SUCCESS
[PUR_PRICE] 2016-12-16 23:31:43 PRINT SUCCESS
[SELL_PRICE] 2016-12-16 23:33:30 AFTER SUCCESS
