[LOG] 2016-12-22 0:00:02 mkdir SUCCESS
[SELL_PRICE] 2016-12-22 18:29:41 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:30:05 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:30:23 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:30:51 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:31:05 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:31:18 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:31:31 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:31:59 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:32:18 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:33:51 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:34:06 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:34:20 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:34:38 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:35:26 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:35:45 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:35:58 PLY SUCCESS
[SELL_PRICE] 2016-12-22 18:36:16 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:44:47 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:45:13 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:45:28 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:45:58 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:46:19 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:46:54 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:47:14 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:47:50 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:48:56 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:49:18 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:49:43 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:49:59 PLY SUCCESS
[SELL_PRICE] 2016-12-22 20:50:56 PLY SUCCESS
