[LOG] 2016-12-02 0:00:01 mkdir SUCCESS
[SELL_PRICE] 2016-12-02 9:32:35 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 9:35:00 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 9:41:59 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 9:57:02 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 10:07:24 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 11:35:02 PAPER SUCCESS
[SELL_PRICE] 2016-12-02 13:22:14 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 13:33:15 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 13:47:52 PAPER SUCCESS
[SELL_PRICE] 2016-12-02 13:58:24 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 14:42:46 PAPER SUCCESS
[SELL_PRICE] 2016-12-02 15:00:52 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 15:04:28 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 15:08:13 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 15:46:23 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-02 16:11:41 AFTER SUCCESS
[SELL_PRICE] 2016-12-02 16:25:53 AFTER SUCCESS
[SELL_PRICE] 2016-12-02 17:56:04 SALE_PAPER SUCCESS
