[LOG] 2016-11-29 0:00:00 mkdir SUCCESS
[SELL_PRICE] 2016-11-29 11:16:17 PLY SUCCESS
[SELL_PRICE] 2016-11-29 11:16:23 PLY SUCCESS
[SELL_PRICE] 2016-11-29 11:26:14 PLY SUCCESS
[SELL_PRICE] 2016-11-29 11:26:25 PLY SUCCESS
[SELL_PRICE] 2016-11-29 11:26:57 PLY SUCCESS
[SELL_PRICE] 2016-11-29 11:27:39 PLY SUCCESS
[SELL_PRICE] 2016-11-29 11:39:47 PAPER SUCCESS
[SELL_PRICE] 2016-11-29 11:41:19 PAPER SUCCESS
[SELL_PRICE] 2016-11-29 11:42:26 PAPER SUCCESS
[SELL_PRICE] 2016-11-29 11:47:38 PAPER SUCCESS
[SELL_PRICE] 2016-11-29 11:49:53 PLY SUCCESS
[SELL_PRICE] 2016-11-29 11:50:03 PLY SUCCESS
[SELL_PRICE] 2016-11-29 11:50:14 PLY SUCCESS
[SELL_PRICE] 2016-11-29 11:51:34 PLY SUCCESS
[SELL_PRICE] 2016-11-29 11:53:19 PLY SUCCESS
[SELL_PRICE] 2016-11-29 11:53:54 PLY SUCCESS
[SELL_PRICE] 2016-11-29 13:41:56 PLY SUCCESS
[SELL_PRICE] 2016-11-29 13:44:42 PLY SUCCESS
[SELL_PRICE] 2016-11-29 13:49:54 PLY SUCCESS
[SELL_PRICE] 2016-11-29 13:54:05 PLY SUCCESS
[SELL_PRICE] 2016-11-29 13:55:41 PLY SUCCESS
[SELL_PRICE] 2016-11-29 13:56:42 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:00:24 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:04:15 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:04:31 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:24:57 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:34:03 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:34:14 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:34:20 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:34:26 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:35:46 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:35:54 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:36:02 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:36:39 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:36:47 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:37:00 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:37:07 PLY SUCCESS
[SELL_PRICE] 2016-11-29 14:37:14 PLY SUCCESS
