[LOG] 2016-11-22 0:00:02 mkdir SUCCESS
[SELL_PRICE] 2016-11-22 14:26:09 PRINT SUCCESS
[SELL_PRICE] 2016-11-22 16:02:58 PRINT SUCCESS
[SELL_PRICE] 2016-11-22 16:35:45 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:37:10 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:38:10 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:38:52 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:39:03 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:39:24 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:39:31 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:39:38 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:45:25 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:45:49 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:46:15 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:46:32 PLY SUCCESS
[SELL_PRICE] 2016-11-22 16:46:51 PLY SUCCESS
[SELL_PRICE] 2016-11-22 17:29:45 PRINT SUCCESS
[SELL_PRICE] 2016-11-22 17:34:58 PRINT SUCCESS
[SELL_PRICE] 2016-11-22 17:55:56 PRINT SUCCESS
[SELL_PRICE] 2016-11-22 20:59:15 PRINT SUCCESS
