[LOG] 2022-09-06 0:00:01 mkdir SUCCESS
[SELL_PRICE] 2022-09-06 17:57:04 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:32:18 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:32:23 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:32:28 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:32:34 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:32:39 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:32:44 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:33:07 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:33:13 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:33:18 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:33:23 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:33:28 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:33:52 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:36:24 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:37:38 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:37:44 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:39:22 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:39:27 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:39:54 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:39:59 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:40:04 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:40:09 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:40:14 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:40:20 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:40:25 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:40:30 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:40:35 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:40:41 AFTER SUCCESS
[SELL_PRICE] 2022-09-06 18:40:46 AFTER SUCCESS
