[LOG] 2022-12-13 15:01:17 mkdir SUCCESS
[SELL_PRICE] 2022-12-13 15:01:19 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:01:23 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:01:27 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:01:31 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:01:35 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:01:39 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:01:44 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:01:48 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:01:52 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:01:56 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:02:00 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:02:04 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:02:09 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:02:13 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:02:17 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:02:33 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:02:37 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:02:41 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:02:46 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:03:26 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:03:30 PLY SUCCESS
[SELL_PRICE] 2022-12-13 15:03:34 PLY SUCCESS
[SELL_PRICE] 2022-12-13 22:59:05 PLY SUCCESS
