[LOG] 2016-11-21 0:00:01 mkdir SUCCESS
[SELL_PRICE] 2016-11-21 17:28:49 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:29:00 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:29:27 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:29:33 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:29:39 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:30:00 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:30:06 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:30:17 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:30:29 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:30:50 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:31:07 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:31:18 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:31:29 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:31:45 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:31:51 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:31:57 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:32:08 PLY SUCCESS
[SELL_PRICE] 2016-11-21 17:32:34 PLY SUCCESS
