[LOG] 2016-12-17 0:00:00 mkdir SUCCESS
[PUR_PRICE] 2016-12-17 0:02:25 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 0:03:10 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 0:05:46 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 1:12:16 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 1:13:51 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 1:14:36 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 1:15:06 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 1:23:56 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 1:24:11 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 1:25:07 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 1:25:22 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 1:26:37 PRINT SUCCESS
[PUR_PRICE] 2016-12-17 1:40:02 PRINT SUCCESS
[SELL_PRICE] 2016-12-17 3:47:30 AFTER SUCCESS
[SELL_PRICE] 2016-12-17 3:47:37 AFTER SUCCESS
[SELL_PRICE] 2016-12-17 3:47:44 AFTER SUCCESS
[SELL_PRICE] 2016-12-17 6:37:00 AFTER SUCCESS
[SELL_PRICE] 2016-12-17 6:55:51 AFTER SUCCESS
