제품,종이,사이즈,도수,Pro_id
중봉투,레자크 #91(체크) 백색 110g,305*215(6절 중봉투),단면칼라4도,E10L4B110EC24S0
중봉투,레자크 #92(줄) 백색 110g,305*215(6절 중봉투),단면칼라4도,E10L5B110EC24S0
중봉투,모조지 백색 120g,305*215(6절 중봉투),단면칼라4도,E10MOB120EC24S0
중봉투,모조지 백색 150g,305*215(6절 중봉투),단면칼라4도,E10MOB150EC24S0
중봉투,레자크 #91(체크) 백색 110g,260*189(9절 중봉투),단면칼라4도,E10L4B110EC34S0
중봉투,레자크 #92(줄) 백색 110g,260*189(9절 중봉투),단면칼라4도,E10L5B110EC34S0
중봉투,모조지 백색 120g,260*189(9절 중봉투),단면칼라4도,E10MOB120EC34S0
중봉투,모조지 백색 150g,260*189(9절 중봉투),단면칼라4도,E10MOB150EC34S0
