제품,종이,사이즈,도수,Pro_id
이삿짐봉투,레자크 #91(체크) 백색 110g,235*120(이삿짐),단면칼라4도,E10L4B110EC64S0
이삿짐봉투,레자크 #92(줄) 백색 110g,235*120(이삿짐),단면칼라4도,E10L5B110EC64S0
이삿짐봉투,모조지 백색 100g,235*120(이삿짐),단면칼라4도,E10MOB100EC64S0
이삿짐봉투,모조지 백색 120g,235*120(이삿짐),단면칼라4도,E10MOB120EC64S0
