제품,종이,사이즈,도수,Pro_id
월급봉투,크라프트 갈색 100g,200*110(월급형),단면1도,E26CFX120EMT0S0
월급봉투,크라프트 갈색 100g,200*110(월급형),단면2도,E26CFX120EMT0D0
월급봉투,크라프트 갈색 100g,200*110(월급형),양면2도,E26CFX120EMT0D0
