제품,종이,사이즈,도수,Pro_id
종이자석 사각귀돌이,아트지,90*70,단면칼라4도,O06ATB250OP14S4
종이자석 사각귀돌이,아트지,90*80,단면칼라4도,O06ATB250OP24S4
종이자석 사각귀돌이,아트지,90*90,단면칼라4도,O06ATB250OP34S4
종이자석 사각귀돌이,아트지,90*100,단면칼라4도,O06ATB250OP44S4
종이자석 사각귀돌이,아트지,90*110,단면칼라4도,O06ATB250OP54S4
종이자석 사각귀돌이,아트지,90*120,단면칼라4도,O06ATB250OP64S4
종이자석 사각귀돌이,아트지,90*130,단면칼라4도,O06ATB250OP74S4
