Ä«Å×°í¸®¸í,Ä«Å×°í¸® ºÐ·ùÄÚµå,Á¾ÀÌ ºÐ·ùÄÚµå,»çÀÌÁî ºÐ·ùÄÚµå,µµ¼ö ºÐ·ùÄÚµå,¼ö·®,°¡°Ý,ºñ°í
È¦´õ,001004001,155,154,73,500,0,3.0¾øÀ½
È¦´õ,001004001,155,154,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,154,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,154,74,500,0,3.0¾øÀ½
È¦´õ,001004001,155,154,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,154,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,155,73,500,0,3.0¾øÀ½
È¦´õ,001004001,155,155,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,155,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,155,74,500,0,3.0¾øÀ½
È¦´õ,001004001,155,155,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,155,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,156,73,500,0,3.0¾øÀ½
È¦´õ,001004001,155,156,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,156,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,156,74,500,0,3.0¾øÀ½
È¦´õ,001004001,155,156,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,156,74,2000,0,3.0¾øÀ½
