제품,종이,사이즈,도수,Pro_id
합판 문어발,아트지 백색 100g,A4,단면칼라4도,O03ATB100OA44S0
합판 문어발,아트지 백색 100g,A4,양면칼라8도,O03ATB100OA48D0
합판 문어발,아트지 백색 100g,16절(B5),단면칼라4도,O03ATB100O164S0
합판 문어발,아트지 백색 100g,16절(B5),양면칼라8도,O03ATB100O168D0
