제품,종이,사이즈,도수,Pro_id
무코팅명함,스노우지 백색 250g,86*52,단면칼라4도,N12SWB250N014S0
무코팅명함,스노우지 백색 250g,86*52,단면칼라4도+뒷면먹1도,N12SWB250N015D0
무코팅명함,스노우지 백색 250g,86*52,양면칼라8도,N12SWB250N018D0
