제품,종이,사이즈,도수,Pro_id
메뉴판,아트지 백색 300g,8절(B4),양면칼라8도,O02ATB300B088D0
메뉴판,아트지 백색 300g,16절(B5),양면칼라8도,O02ATB300B168D0
메뉴판,아트지 백색 300g,32절(B6),양면칼라8도,O02ATB300B328D0
메뉴판,아트지 백색 300g,48절,양면칼라8도,O02ATB300B488D0
메뉴판,아트지 백색 300g,64절(B7),양면칼라8도,O02ATB300B648D0
메뉴판,아트지 백색 300g,장16절,양면칼라8도,O02ATB300BJ18D0
메뉴판,아트지 백색 300g,장32절,양면칼라8도,O02ATB300BJ38D0
