제품,종이,사이즈,도수,Pro_id
다지털소량명함,퓨리 백색 270g,90*50,단면칼라4도,N15X1B270N034S0
다지털소량명함,퓨리 백색 270g,90*50,양면칼라8도,N15X1B270N038D0
