[LOG] 2018-03-05 10:01:41 mkdir SUCCESS
[SELL_PRICE] 2018-03-05 10:01:43 AFTER SUCCESS
[SELL_PRICE] 2018-03-05 10:01:46 AFTER SUCCESS
[SELL_PRICE] 2018-03-05 10:01:50 AFTER SUCCESS
[SELL_PRICE] 2018-03-05 10:01:53 AFTER SUCCESS
[SELL_PRICE] 2018-03-05 10:01:56 AFTER SUCCESS
[SELL_PRICE] 2018-03-05 10:01:59 AFTER SUCCESS
[SELL_PRICE] 2018-03-05 10:02:02 AFTER SUCCESS
[SELL_PRICE] 2018-03-05 10:02:05 AFTER SUCCESS
[SELL_PRICE] 2018-03-05 10:02:08 AFTER SUCCESS
[SELL_PRICE] 2018-03-05 10:02:12 AFTER SUCCESS
