[LOG] 2016-12-12 0:00:04 mkdir SUCCESS
[SELL_PRICE] 2016-12-12 16:01:34 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:01:47 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:02:05 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:03:07 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:03:19 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:03:26 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:03:38 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:03:51 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:04:18 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:04:30 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:04:37 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:04:49 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:05:01 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:05:08 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:05:15 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:05:27 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:05:40 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:05:47 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:05:59 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:06:06 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:06:13 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:06:25 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:06:37 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:06:44 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:06:56 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:07:04 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:07:11 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:07:23 AFTER SUCCESS
[SELL_PRICE] 2016-12-12 16:07:30 AFTER SUCCESS
