[LOG] 2016-11-30 0:00:04 mkdir SUCCESS
[SELL_PRICE] 2016-11-30 9:59:45 PLY SUCCESS
[SELL_PRICE] 2016-11-30 9:59:56 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:00:12 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:00:23 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:00:34 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:00:50 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:01:02 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:01:18 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:01:24 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:02:45 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:02:56 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:03:02 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:03:13 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:03:19 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:03:30 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:03:36 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:04:47 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:27:49 PLY SUCCESS
[SELL_PRICE] 2016-11-30 10:28:00 PLY SUCCESS
[SELL_PRICE] 2016-11-30 11:08:01 PLY SUCCESS
[SELL_PRICE] 2016-11-30 11:29:22 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-11-30 11:36:24 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-11-30 15:23:07 SALE_PAPER 
[SELL_PRICE] 2016-11-30 15:27:13 SALE_PAPER 
[SELL_PRICE] 2016-11-30 15:30:09 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-11-30 15:36:37 PRINT SUCCESS
[SELL_PRICE] 2016-11-30 15:40:06 PRINT SUCCESS
[SELL_PRICE] 2016-11-30 17:00:05 PRINT SUCCESS
[SELL_PRICE] 2016-11-30 17:20:38 PRINT SUCCESS
[SELL_PRICE] 2016-11-30 17:21:42 PRINT SUCCESS
