[LOG] 2022-12-20 10:56:24 mkdir SUCCESS
[SELL_PRICE] 2022-12-20 10:58:16 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:04:37 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:04:43 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:04:50 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:04:56 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:05:02 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:05:08 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:05:14 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:05:20 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:05:27 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:05:33 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:05:39 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:05:45 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:05:51 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:05:57 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:06:04 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:06:10 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:06:16 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:06:22 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:06:29 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:06:35 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:06:41 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:06:47 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:06:53 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:07:00 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:07:06 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:07:12 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:07:18 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:07:24 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:07:31 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:07:37 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:07:43 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:07:49 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:07:55 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:08:01 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:08:08 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:08:14 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:08:20 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:08:26 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:08:33 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:08:39 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:08:45 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:08:51 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:08:57 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:09:04 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:09:10 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:09:16 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:09:22 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:13:34 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:14:51 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:14:56 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:15:04 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:15:09 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:15:14 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:15:20 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:15:25 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:15:30 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:15:35 PLY SUCCESS
[SELL_PRICE] 2022-12-20 11:15:40 PLY SUCCESS
