[LOG] 2016-12-06 0:00:01 mkdir SUCCESS
[SELL_PRICE] 2016-12-06 9:43:27 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-06 10:11:00 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-06 11:17:58 AFTER SUCCESS
[SELL_PRICE] 2016-12-06 11:56:33 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-06 16:02:20 PLY SUCCESS
[SELL_PRICE] 2016-12-06 16:02:48 PLY SUCCESS
[SELL_PRICE] 2016-12-06 16:05:57 AFTER SUCCESS
[SELL_PRICE] 2016-12-06 16:06:06 AFTER SUCCESS
[SELL_PRICE] 2016-12-06 16:06:20 AFTER SUCCESS
[SELL_PRICE] 2016-12-06 17:50:30 AFTER SUCCESS
[SELL_PRICE] 2016-12-06 17:50:44 AFTER SUCCESS
[SELL_PRICE] 2016-12-06 17:50:58 AFTER SUCCESS
[SELL_PRICE] 2016-12-06 19:45:36 AFTER SUCCESS
[SELL_PRICE] 2016-12-06 20:29:40 AFTER SUCCESS
[SELL_PRICE] 2016-12-06 20:44:56 AFTER SUCCESS
[SELL_PRICE] 2016-12-06 23:14:49 AFTER SUCCESS
