[LOG] 2022-03-19 0:53:17 Log File Open SUCCESS
[SELL_PRICE] 2022-03-19 0:53:18 PLY 
[SELL_PRICE] 2022-03-19 0:57:28 PLY SUCCESS
[SELL_PRICE] 2022-03-19 1:01:05 PLY SUCCESS
[SELL_PRICE] 2022-03-19 1:01:31 PLY SUCCESS
[SELL_PRICE] 2022-03-19 1:02:17 PLY SUCCESS
[SELL_PRICE] 2022-03-19 1:03:32 PLY SUCCESS
[SELL_PRICE] 2022-03-19 1:04:02 PLY SUCCESS
[SELL_PRICE] 2022-03-19 1:04:56 PLY SUCCESS
[SELL_PRICE] 2022-03-19 1:08:21 PLY SUCCESS
[SELL_PRICE] 2022-03-19 1:10:16 PLY SUCCESS
