[LOG] 2016-12-05 0:00:03 mkdir SUCCESS
[SELL_PRICE] 2016-12-05 16:04:56 OUTPUT SUCCESS
[SELL_PRICE] 2016-12-05 16:09:24 PRINT SUCCESS
[SELL_PRICE] 2016-12-05 16:55:00 AFTER SUCCESS
[SELL_PRICE] 2016-12-05 17:06:21 AFTER SUCCESS
[SELL_PRICE] 2016-12-05 17:11:01 AFTER SUCCESS
[SELL_PRICE] 2016-12-05 17:28:53 AFTER SUCCESS
[SELL_PRICE] 2016-12-05 17:45:23 AFTER SUCCESS
[SELL_PRICE] 2016-12-05 17:45:49 AFTER SUCCESS
[SELL_PRICE] 2016-12-05 17:46:21 AFTER SUCCESS
[SELL_PRICE] 2016-12-05 17:46:38 AFTER SUCCESS
[SELL_PRICE] 2016-12-05 19:40:31 PAPER 
[SELL_PRICE] 2016-12-05 19:40:55 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-05 19:44:00 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-05 20:02:59 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-05 20:35:31 SALE_PAPER SUCCESS
[SELL_PRICE] 2016-12-05 21:22:14 SALE_PAPER SUCCESS
