1,97
1,102
2,101
3,100
1,105
2,104
3,103
1,107
2,106
1,109
2,108
1,111
2,110
1,112
1,113
1,114
1,115
1,116
1,117
1,118
1,119
1,120
1,121
1,122
1,123
1,124
1,125
1,126
1,127
1,128
1,129
1,131
2,130
1,133
2,132
1,445
1,134
1,442
1,137
2,135
2,443
2,138
2,446
3,136
3,444
1,521
1,481
1,482
1,514
1,515
1,472
1,473
1,520
2,516
2,517
2,475
2,476
2,522
2,523
2,484
2,485
3,518
3,519
3,478
3,479
1,492
1,144
1,489
1,147
2,145
2,490
2,148
2,493
3,146
3,491
1,504
1,507
1,506
1,505
2,513
2,512
2,510
2,511
3,509
3,508
1,156
1,488
1,154
1,486
2,155
2,487
1,159
1,157
2,158
1,162
1,160
2,161
1,165
1,163
2,164
1,170
1,503
1,167
1,500
2,502
2,166
2,499
2,169
3,168
3,501
1,440
1,441
1,175
1,177
2,176
1,179
2,178
1,181
2,180
1,183
2,182
1,525
2,524
1,184
1,185
1,186
1,187
1,188
1,189
1,408
2,409
3,407
1,411
2,412
3,410
1,414
2,415
3,413
1,417
2,418
3,416
1,420
2,421
3,419
1,423
2,424
3,422
1,426
2,427
3,425
1,429
2,430
3,428
1,432
2,433
3,431
1,280
2,279
1,529
1,538
1,539
1,540
1,541
1,526
1,527
1,528
2,530
2,531
2,532
2,533
2,542
2,543
2,544
2,545
3,534
3,535
3,536
3,537
1,548
1,549
1,558
1,559
1,560
1,561
1,546
1,547
2,563
2,564
2,565
2,550
2,551
2,552
2,553
2,562
3,554
3,555
3,556
3,557
