코팅명함,86*52,명함사이즈,투터치재단,88,54,86,52,-,-,-,-,국,국전 판,아그파판,1030*800
고품격 코팅명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,국,국전 판,아그파판,1030*800
무코팅명함,86*52,명함사이즈,투터치재단,88,54,86,52,-,-,-,-,국,국전 판,아그파판,1030*800
고품격 무코팅명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,국,국전 판,아그파판,1030*800
빌리지명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
베이직명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
반누브명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
그레이스명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
컨셉(블루펄)명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
키칼라메탈릭 골드명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
키칼라메탈릭 아이스골드명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
마쉬맬로우명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
팝셋명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
샤인스페셜명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
스타드림명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
스타(드림) 골드명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
스타(드림) 실버명함,90*50,명함사이즈,투터치재단,92,52,90,50,-,-,-,-,46,2절 8개판,아그파판,760*635
