부서이름,부서코드,상위부서코드,영문이름,영문약어,사용여부,레벨
영업본부,01,,,,Y,1
고객관리1팀,0101,,,,Y,2
고객지원본부,02,,,,Y,1
견적팀,0201,,,,Y,2
접수팀,0202,,,,Y,2
콜센터,0203,,,,Y,2
경영지원본부,03,,,,Y,1
관리팀,0301,,,,Y,2
IT개발본부,04,,,,Y,1
전산팀,0401,,,,Y,2
생산본부,05,,,,Y,1
봉투팀,0501,,,,Y,2
출력팀,0502,,,,Y,2
재단팀,0503,,,,Y,2
요비팀,0504,,,,Y,2
국전팀,0505,,,,Y,2
2절팀,0506,,,,Y,2
V3000,0507,,,,Y,2
물류유통본부,06,,,,Y,1
명함출고팀,0601,,,,Y,2
전단출고팀,0602,,,,Y,2
