[LOG] 2022-07-26 0:00:01 mkdir SUCCESS
[SELL_PRICE] 2022-07-26 17:47:10 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:47:16 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:47:54 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:48:44 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:48:49 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:48:55 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:49:00 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:49:05 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:49:10 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:49:15 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:49:21 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:49:26 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:49:31 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:49:36 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:49:42 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:49:47 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:49:52 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:54:49 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:54:54 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:54:59 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:55:04 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:55:10 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:55:15 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:55:20 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:55:25 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:55:31 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:55:36 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:55:41 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:55:46 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:55:52 PLY SUCCESS
[SELL_PRICE] 2022-07-26 17:55:57 PLY SUCCESS
