[LOG] 2023-03-28 14:00:00 mkdir SUCCESS
[SELL_PRICE] 2023-03-28 14:00:03 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:00:09 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:00:14 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:00:19 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:00:24 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:00:31 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:00:36 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:00:41 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:00:46 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:00:51 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:00:57 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:02 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:07 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:12 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:17 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:23 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:28 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:33 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:38 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:43 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:48 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:54 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:01:59 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:02:04 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:02:09 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:02:14 PLY SUCCESS
[SELL_PRICE] 2023-03-28 14:02:19 PLY SUCCESS
