[LOG] 2022-12-23 0:00:02 mkdir SUCCESS
[SELL_PRICE] 2022-12-23 0:45:52 PLY SUCCESS
[SELL_PRICE] 2022-12-23 16:27:45 PLY SUCCESS
[SELL_PRICE] 2022-12-23 16:28:03 PLY SUCCESS
[SELL_PRICE] 2022-12-23 18:37:14 PLY SUCCESS
[SELL_PRICE] 2022-12-23 18:37:24 PLY SUCCESS
[SELL_PRICE] 2022-12-23 18:37:34 PLY SUCCESS
[SELL_PRICE] 2022-12-23 18:37:45 PLY SUCCESS
[SELL_PRICE] 2022-12-23 18:37:55 PLY SUCCESS
[SELL_PRICE] 2022-12-23 18:38:05 PLY SUCCESS
[SELL_PRICE] 2022-12-23 18:38:16 PLY SUCCESS
[SELL_PRICE] 2022-12-23 18:38:26 PLY SUCCESS
